"MrpDate","Org","PlnrCd","Planner","ExCd","Exception","days","Item","Description","MakeBuy","xSignal","Buyer","SupplyType","xOrder","Quantity","DueDate","FromDate","ToDate","ExtCost","StdCst","Vendor","VendNum"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-4","0111221-21","ADJUSTER ASSY 1 3/4 IN. (###Replaces 110","make","","","Discrete job","1969661","25","0000-00-00","0000-00-00","0000-00-00","782.19","31.29","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-9","0111221-31","ADJUSTER ASSY 2 1/4 IN","make","","","Discrete job","1967863","100","0000-00-00","0000-00-00","0000-00-00","1244.03","12.44","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-32","0111221-31","ADJUSTER ASSY 2 1/4 IN","make","","","Discrete job","1968716","100","0000-00-00","0000-00-00","0000-00-00","1244.03","12.44","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-2","0111984-01","LEAD-IN STRAP","make","","","Discrete job","1966651","3","0000-00-00","0000-00-00","0000-00-00","191.19","63.73","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-18","0111984-01","LEAD-IN STRAP","make","","","Discrete job","1966741","10","0000-00-00","0000-00-00","0000-00-00","637.29","63.73","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-1","0111984-03","LEAD-IN STRAP","make","","","Discrete job","1968717","1","0000-00-00","0000-00-00","0000-00-00","62.36","62.36","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-1","0111989-33","WEBBING ASSY, NON-STANDARD RESIN BLOCK","make","","","Discrete job","1966296","17","0000-00-00","0000-00-00","0000-00-00","534.44","31.44","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-2","0111989-33","WEBBING ASSY, NON-STANDARD RESIN BLOCK","make","","","Discrete job","1968244","12","0000-00-00","0000-00-00","0000-00-00","377.25","31.44","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-2","0111994-01","LOAD PLATE ASSEMBLY","make","","","Discrete job","1966650","4","0000-00-00","0000-00-00","0000-00-00","301.50","75.37","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-1","0111994-01","LOAD PLATE ASSEMBLY","make","","","Discrete job","1968718","1","0000-00-00","0000-00-00","0000-00-00","75.37","75.37","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-1","0113209-1","SLEEVE","buy","","Chong, Suzanne","Purchase requisition","271645","5","0000-00-00","0000-00-00","0000-00-00","902.13","180.43","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-63","0113274-1","SHAFT-LOCK DOG","buy","DCI","Chong, Suzanne","Purchase order","CON0086SC","150","0000-00-00","0000-00-00","0000-00-00","787.25","5.25","TCT ADVANCED MACHINING INC","14001328"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-56","0113412-01","STABILIZER","buy","DCI","Chong, Suzanne","Purchase order","SC0095BP(1)","12","0000-00-00","0000-00-00","0000-00-00","105.81","8.82","SERRA MANUFACTURING CORP","5014588"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-32","0113495-01","STRAP ASSY","make","","","Discrete job","1969158","5","0000-00-00","0000-00-00","0000-00-00","114.76","22.95","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-1","0113609-01","BRACKET ASS'Y INERTIA REE","buy","","Chong, Suzanne","Purchase requisition","271654","2","0000-00-00","0000-00-00","0000-00-00","188.59","94.3","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-45","1101623-01","DOG, H.D.","buy","DCI","Chong, Suzanne","Purchase order","EM2961BP(13)","300","0000-00-00","0000-00-00","0000-00-00","1364.57","4.55","PRECISION SHAPES INC","5012850"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-12","1101667-01","(F) PLATE,THRUST H.D. BUCKLE","buy","DCI","Chong, Suzanne","Purchase order","YA0971BP(8)","200","0000-00-00","0000-00-00","0000-00-00","594.81","2.97","ALL NEW STAMPING CO","5000758"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-12","1101669-01","RETAINER DOG","buy","DCI","Chong, Suzanne","Purchase order","SC0099BP(1)","154","0000-00-00","0000-00-00","0000-00-00","176.02","1.14","SERRA MANUFACTURING CORP","5014588"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-11","1101672-01","SPRING, RELEASE","buy","DCI","Chong, Suzanne","Purchase order","SC0010BP(8)","300","0000-00-00","0000-00-00","0000-00-00","451.36","1.5","SUPERIOR SPRING CO","13058370"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-104","1101698-01","BUSHING","buy","","Chong, Suzanne","Purchase order","SC0089","100","0000-00-00","0000-00-00","0000-00-00","573.82","5.74","ALL TIME MACHINE INC","14001299"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-13","1101698-01","BUSHING","buy","","Chong, Suzanne","Purchase order","SC0089","25","0000-00-00","0000-00-00","0000-00-00","143.46","5.74","ALL TIME MACHINE INC","14001299"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-28","1101710-01","LOAD PLATE","buy","DCI","Chong, Suzanne","Purchase order","SC0088BP(2)","70","0000-00-00","0000-00-00","0000-00-00","3224.82","46.07","ALL NEW STAMPING CO","5000758"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-16","1101720-01","PLATE ASSY","make","","","Discrete job","1966648","100","0000-00-00","0000-00-00","0000-00-00","1145.80","11.46","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-16","1101720-01","PLATE ASSY","make","","","Discrete job","1968849","100","0000-00-00","0000-00-00","0000-00-00","1145.80","11.46","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-47","1101722-99","BOOT, BLANK","buy","DCI","Chong, Suzanne","Purchase order","SC0079","100","0000-00-00","0000-00-00","0000-00-00","555.16","5.55","S&C PLASTIC COATING LLC","14002477"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-8","1101735-03","LOAD PLATE ASSY.","make","","","Discrete job","1967865","12","0000-00-00","0000-00-00","0000-00-00","4509.21","375.77","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-8","1101750-37","HEAVY DUTY ROTARY BUCKLE","make","","","Discrete job","1967866","12","0000-00-00","0000-00-00","0000-00-00","5822.72","485.23","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-22","1101750-37","HEAVY DUTY ROTARY BUCKLE","make","","","Discrete job","1969676","8","0000-00-00","0000-00-00","0000-00-00","3881.82","485.23","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-15","1101787-03","HANDLE, MACHINED","buy","DCI","Chong, Suzanne","Purchase order","EM2962BP(14)","100","0000-00-00","0000-00-00","0000-00-00","1789.10","17.89","ALLOY DIE CASTING CO","5050145"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-8","1101787-03","HANDLE, MACHINED","buy","DCI","Chong, Suzanne","Purchase order","EM2962BP(13)","100","0000-00-00","0000-00-00","0000-00-00","1789.10","17.89","ALLOY DIE CASTING CO","5050145"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-42","1101801-01","DOG","buy","DCI","Chong, Suzanne","Purchase order","CON0080SC","3300","0000-00-00","0000-00-00","0000-00-00","30944.27","9.38","PRECISION SHAPES INC","5012850"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-42","1101847-03","BODY, MACHINED","buy","DCI","Chong, Suzanne","Purchase order","YA1065BP(11)","100","0000-00-00","0000-00-00","0000-00-00","1450.88","14.51","ALLOY DIE CASTING CO","5050145"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-8","1101847-03","BODY, MACHINED","buy","DCI","Chong, Suzanne","Purchase order","YA1065BP(9)","100","0000-00-00","0000-00-00","0000-00-00","1450.88","14.51","ALLOY DIE CASTING CO","5050145"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-8","1101847-03","BODY, MACHINED","buy","DCI","Chong, Suzanne","Purchase order","YA1065BP(10)","100","0000-00-00","0000-00-00","0000-00-00","1450.88","14.51","ALLOY DIE CASTING CO","5050145"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-8","1101875-03","MACHINED FITTING","buy","DCI","Chong, Suzanne","Purchase order","EM2844BP(14)","250","0000-00-00","0000-00-00","0000-00-00","7799.63","31.2","HYDROMACH INC","14002291"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-15","1107370-07","FITTING","buy","DCI","Chong, Suzanne","Purchase order","SC0041BP(7)","350","0000-00-00","0000-00-00","0000-00-00","1612.41","4.61","ALL NEW STAMPING CO","5000758"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-2","1107408-01","BUCKLE PAD","make","","","Discrete job","1966641","21","0000-00-00","0000-00-00","0000-00-00","384.27","18.3","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-1","3101117-TF-1","G TESTER","buy","","Chong, Suzanne","Purchase requisition","271659","1","0000-00-00","0000-00-00","0000-00-00","7796.72","7796.72","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-286","HR30136-03"," NUT","buy","DCI","Munoz, Eric","Purchase order","CON172JA","195","0000-00-00","0000-00-00","0000-00-00","2526.73","12.96","ALL TIME MACHINE INC","14001299"
