MrpDate,Org,PlnrCd,Planner,ExCd,Exception,days,Item,Description,MakeBuy,xSignal,Buyer,SupplyType,xOrder,Quantity,DueDate,FromDate,ToDate,ExtCost,StdCst,Vendor,VendNum
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,3,0108459-01,REEL ASSEMBLY,make,KB,,Discrete job,1966538,5,,42342,42345,620.54,124.11,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,20,0108466-01,SPACER (BUY COMPLETE),buy,DCI,"Munoz, Eric",Purchase order,EM3680BP(2),13,,42376,42396,151.92,11.69,PRECISION SHAPES INC,5012850
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,3,0108900-17,RESTRAINT SYSTEM,make,,,Discrete job,1959543,10,,42356,42359,5608.29,560.83,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,33,0108908-05,SUPPORT RING,buy,DCI,"Munoz, Eric",Purchase order,EM3776BP(4),6,,42354,42387,75.23,12.54,TCT ADVANCED MACHINING INC,14001328
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,4,0901101-148,SOCKET HD. BUTTON HD. CAP SCREW,buy,LOT$,"Munoz, Eric",Purchase order,EM3840,1500,,42404,42408,2711.66,1.81,JACON FASTENERS & ELECTRONICS,13037000
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,12,0913100-97,"PIN, SPRING, COILED, HEAVY DUTY  (SPIROL PN: CLDP 062-312 HBT)",buy,YRBY,"Munoz, Eric",Purchase order,EM3820,5000,,42396,42408,0,,OCEAN STATE STAINLESS INC,5021320
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,18,0922100-319,ROD,buy,DCI,"Munoz, Eric",Purchase order,EM3175BP(8),1281,,42376,42394,582.68,0.45,UNIVERSAL METALS CO,14001255
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,1,0922100-396,CLOTH BACKING MIN 20,buy,LOT$,"Munoz, Eric",Purchase order,EM3795,30,,42347,42348,904.47,30.15,OCEAN STATE STAINLESS INC,5021320
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,1,0922100-431,CONDUIT,buy,SUP,"Munoz, Eric",Purchase order,EM3842,4000,,42459,42460,4245.32,1.06,ORSCHELN PRODUCTS LLC,14002701
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,4,1101205,THRUST SPRING,buy,DCI,"Munoz, Eric",Purchase order,EM3501BP(6),600,,42356,42360,146.95,0.24,SUPERIOR SPRING CO,13058370
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,20,1101206-03,"SPRING, DOG",buy,DCI,"Munoz, Eric",Purchase order,EM2915BP(9),450,,42354,42374,472.35,1.05,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,27,1101206-05,"SPRING, DOG",buy,DCI,"Munoz, Eric",Purchase order,EM3403BP(7),450,,42354,42381,603.56,1.34,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,27,1101208,PLATE,buy,DCI,"Munoz, Eric",Purchase order,EM3268BP(9),900,,42354,42381,1018.18,1.13,A L INDUSTRIES INC,5026045
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,39,1101211-05,LINK B/F,make,,"Munoz, Eric",Discrete job,1969191,50,,42342,42381,113.13,2.26,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,3,1101211-07,"(F)LINK, SHLDER HARNESS",make,KB,"Munoz, Eric",Discrete job,1969192,1950,,42384,42387,4412.11,2.26,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,33,1101221,PLATE,buy,SCH,"Munoz, Eric",Purchase order,EM3688,1000,,42389,42422,1971.05,1.97,PRECISION RESOURCE INC,5040065
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,306,1101221,PLATE,buy,SCH,"Munoz, Eric",Purchase order,EM3688,1000,,42480,42786,1971.05,1.97,PRECISION RESOURCE INC,5040065
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,93,1101221,PLATE,buy,SCH,"Munoz, Eric",Purchase order,EM3688,1000,,42417,42510,1971.05,1.97,PRECISION RESOURCE INC,5040065
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,159,1101221,PLATE,buy,SCH,"Munoz, Eric",Purchase order,EM3688,1000,,42445,42604,1971.05,1.97,PRECISION RESOURCE INC,5040065
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,34,1101227-1,"CLIP, SHOULDER HARNESS",buy,DCI,"Munoz, Eric",Purchase order,EM3766BP(1),25,,42347,42381,83.1,3.32,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,27,1101544-05,"BODY, MACHINED",buy,DCI,"Munoz, Eric",Purchase order,EM3633BP(9),300,,42395,42422,1557.01,5.19,BILLION TECHNOLOGY LTD,14002596
