ID,Order#,ShipDate,ExtPrice
291,261284,2015-03-03,14790
292,261335,2015-01-30,4600
293,261335,2015-02-20,4600
294,261335,2015-02-20,4600
295,261335,2015-02-21,648
296,261275,2015-01-30,6556
297,261275,2015-05-28,3576
298,261275,2015-05-28,3576
299,261275,2015-09-11,7748
300,261345,2015-01-30,3200
301,261355,2015-02-12,15898.7
302,261363,2015-02-12,9200
303,261363,2015-02-12,9200
304,261363,2015-02-20,9200
305,261363,2015-02-19,324
306,261363,2015-02-26,324
307,261376,2015-01-30,6600
308,261382,2015-01-05,2265
309,261382,2015-01-21,1812
310,261382,2015-02-06,1812
311,261383,2015-01-12,15354
312,261383,2015-01-20,17060
313,261383,2015-01-22,15354
314,261383,2015-01-26,11942
315,261383,2015-01-28,15354
316,261383,2015-02-06,15354
317,261383,2015-02-10,14501
318,261383,2015-02-11,17913
319,261383,2015-02-13,15354
320,261383,2015-02-23,15354
321,261454,2015-02-24,0
322,261456,2015-02-24,0
323,261457,2015-02-24,0
324,261489,2015-02-02,221.46
325,261489,2015-04-14,221.46
326,261489,2015-01-17,3335.64
327,261489,2015-04-13,3335.64
328,261503,2015-01-27,5014
329,261503,2015-02-23,7521
330,261503,2015-03-25,7521
331,261503,2015-04-23,2507
332,261503,2015-04-29,2507
333,261503,2015-05-21,2507
334,261503,2015-05-29,2507
335,261503,2015-01-19,4964
336,261503,2015-02-20,7446
337,261503,2015-03-25,7446
338,261503,2015-04-17,4964
339,261503,2015-05-26,4964
340,261510,2015-01-27,1467.6
341,261510,2015-04-20,1467.6
342,261510,2015-01-23,13722.4
343,261510,2015-04-16,13722.4
344,261510,2015-01-27,609.6
345,261510,2015-04-16,609.6
346,261510,2015-01-27,1927.17
347,261510,2015-04-15,1927.17
348,261514,2015-01-05,12757.91
349,261515,2015-02-12,5976
350,261515,2015-05-22,4482
351,261522,2015-01-30,5950
352,261527,2015-01-27,41849.54
353,261527,2015-03-20,41849.54
354,261533,2015-01-29,11270
355,261533,2015-01-29,39330
356,261533,2015-02-18,11500
357,261533,2015-02-18,62100
358,261533,2015-02-18,1380
359,261533,2015-02-26,60720
360,261533,2015-02-26,230
361,261533,2015-03-26,38870
362,255171,2015-01-30,137020
363,261555,2015-03-05,0
364,261561,2015-03-27,7070
365,261564,2015-03-27,19470
366,261564,2015-05-11,22066
367,261595,2015-01-26,4024.16
368,261638,2015-01-13,0
369,261645,2015-02-09,6761.09
370,261653,2015-05-19,1159.81
371,261659,2015-01-26,4651.2
372,261659,2015-02-27,4651.2
373,261659,2015-02-27,4651.2
374,261659,2015-04-16,4651.2
375,261659,2015-05-01,4651.2
376,261675,2015-02-13,20878
377,261692,2015-02-20,9200
378,261692,2015-02-26,324
379,261692,2015-02-26,324
380,261692,2015-02-26,324
381,261692,2015-02-26,324
382,261692,2015-02-26,324
383,261692,2015-03-18,324
384,261692,2015-03-24,162
385,261692,2015-03-24,486
386,261692,2015-02-20,9200
387,261692,2015-02-27,9200
388,261692,2015-02-27,9200
389,261692,2015-02-27,9200
390,261692,2015-02-27,9200
391,261692,2015-02-26,324
392,261692,2015-02-27,324
393,261692,2015-02-27,324
394,261692,2015-02-27,324
